Date,SPY,AAPL,GOOG,MRK,JNJ,WMT,TGT
4/17/19,-0.0024,0.0195,0.0075,-0.0469,0.0036,0.0022,0.0087
4/18/19,0.002,0.0036,0,-0.0099,-0.0072,2e-04,0.007
4/22/19,9e-04,0.0033,0.0101,0.0037,0.0023,-0.0079,-0.0149
4/23/19,0.009,0.0144,0.0126,0.0155,0.015,0.0068,0.0017
4/24/19,-0.0022,-0.0015,-0.0068,0.0017,-0.005,0.0045,0.0088
4/25/19,-6.00E-04,-0.0091,0.0059,0.0215,0.0032,-1.00E-04,-0.0138
4/26/19,0.0047,-0.0048,0.0069,0.0038,0.0053,-0.0192,-0.0565
4/29/19,0.0016,0.0015,0.0121,0.002,-0.0039,3e-04,0.0088
4/30/19,5e-04,-0.0193,-0.077,0.0251,0.0097,0.0126,-0.0049
5/1/19,-0.0075,0.0491,-0.0172,1e-04,0.0053,-0.0144,-0.0226
5/2/19,-0.0022,-0.0065,-0.0047,0.0102,-0.0047,-0.0021,0.0099
5/3/19,0.0098,0.0124,0.0196,0.006,0.0052,0.0092,-0.0063
5/6/19,-0.0041,-0.0154,0.0034,-0.0065,6e-04,0.0037,5e-04
5/7/19,-0.0167,-0.027,-0.0129,-0.0199,-0.0149,-0.0113,-0.0124
5/8/19,-0.0014,2e-04,-0.0067,0.0036,-0.0013,-0.0099,0.0049
5/9/19,-0.003,-0.0107,-0.0033,0.0019,-0.0076,-0.0023,-0.004
5/10/19,0.005,-0.0139,0.0016,-0.0018,0.0023,0.0238,-0.0063
5/13/19,-0.0251,-0.0581,-0.0277,-0.013,-0.0133,-0.0198,-0.0397
5/14/19,0.009,0.0158,-0.0102,0.0032,-0.0028,0.004,0.0031
5/15/19,0.0059,0.012,0.0391,0.0017,7e-04,-0.0041,-0.0063
5/16/19,0.0093,-0.0044,0.0127,0.0204,0.0095,0.0143,-4.00E-04
5/17/19,-0.0065,-0.0057,-0.0141,-0.0052,0.0029,-0.0044,0.0016
5/20/19,-0.0066,-0.0313,-0.0202,0.002,-0.0014,0.0065,0.0168
5/21/19,0.009,0.0192,0.0095,0.0079,-0.0022,-0.0039,-0.0017
5/22/19,-0.0031,-0.0205,0.0016,0.0186,0.0046,0.011,0.0778
5/23/19,-0.0122,-0.0171,-0.0092,5e-04,0.0074,-0.0036,0.0237
5/24/19,0.0023,-0.0038,-0.0064,0.0019,1e-04,0.008,0.0273
5/28/19,-0.0093,-0.0041,6e-04,-0.0112,-0.0128,-0.0024,-0.0098
5/29/19,-0.0067,-0.0048,-0.0156,-0.0112,-0.0419,-0.0029,-0.014
5/30/19,0.0027,0.0052,0.0013,0.004,0.0059,7e-04,0.0094
5/31/19,-0.0135,-0.0181,-0.0128,-0.0059,-0.0073,-0.0073,7e-04
6/3/19,-0.0025,-0.0101,-0.0611,0.0133,0.0022,0.0051,0.0311
6/4/19,0.0217,0.0366,0.0162,0.0102,0.0174,0.0059,0.035
6/5/19,0.0087,0.0161,-0.0103,0.0075,0.0049,0.0181,-0.0042
6/6/19,0.0065,0.0147,0.002,-0.0031,0.0171,0.0066,0.0025
6/7/19,0.01,0.0266,0.0208,0.0125,0.0137,0.009,0.0134
6/10/19,0.0046,0.0128,0.0135,2e-04,0.0034,0.0138,0.0081
